名称,発生場所,発生年月日,当事者種別,事故内容,事故類型,所轄警察署,経度,緯度
全事故,米子市車尾六丁目,2014/9/18,軽乗用×軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3644744,35.4315859
全事故,鳥取市美和,2014/10/4,軽乗用×普通乗用,重傷事故,車両相互,鳥取署,134.2318455,35.45616038
全事故,米子市明治町,2014/11/5,軽乗用×歩行者,重傷事故,人対車両,米子署,133.3356156,35.42346425
全事故,米子市東福原一丁目,2014/11/15,軽乗用×自転車,軽傷事故,車両相互,米子署,133.3480359,35.43512827
全事故,米子市西福原一丁目,2014/11/20,軽乗用×自転車,軽傷事故,車両相互,米子署,133.3379135,35.44084224
全事故,米子市福市,2014/11/23,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.367092,35.40493366
全事故,米子市両三柳,2014/11/28,軽乗用×普通貨物,軽傷事故,車両相互,米子署,133.335409,35.45672493
全事故,鳥取市気高町浜村,2014/12/1,大型貨物×普通乗用,軽傷事故,車両相互,浜村署,134.0558971,35.51839542
全事故,鳥取市扇町,2014/12/4,普通乗用×歩行者,重傷事故,人対車両,鳥取署,134.2241808,35.4933185
全事故,米子市祇園町二丁目,2014/12/4,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3237068,35.41898034
全事故,米子市一部,2014/12/5,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3968865,35.40608864
全事故,西伯郡大山町國信,2014/12/7,普通乗用×自転車,重傷事故,車両相互,八橋署,133.4571771,35.48480752
全事故,鳥取市永楽温泉町,2014/12/8,普通貨物×歩行者,軽傷事故,人対車両,鳥取署,134.2287626,35.49478086
全事故,八頭郡八頭町宮谷,2014/12/8,普通乗用×歩行者,軽傷事故,人対車両,郡家署,134.2556445,35.41517974
全事故,倉吉市国府,2014/12/11,当事者不明×軽乗用,軽傷事故,車両相互,倉吉署,133.762873,35.43037614
全事故,米子市久米町,2014/12/11,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3267473,35.42539168
全事故,米子市皆生新田二丁目,2014/12/12,軽乗用×歩行者,重傷事故,人対車両,米子署,133.365729,35.45218497
全事故,米子市車尾六丁目,2014/12/16,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3644503,35.43153454
全事故,米子市一部,2014/12/16,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3945468,35.40860583
全事故,鳥取市秋里,2014/12/17,普通貨物×軽乗用,軽傷事故,車両相互,鳥取署,134.2136875,35.52095028
全事故,西伯郡南部町阿賀,2014/12/17,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.330524,35.359015
全事故,米子市西福原二丁目,2014/12/19,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3377636,35.4410399
全事故,米子市新開七丁目,2014/12/20,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3398789,35.45991941
全事故,米子市米原五丁目,2014/12/22,普通乗用×普通乗用,軽傷事故,車両相互,米子署,133.3303959,35.44318814
全事故,鳥取市商栄町,2014/12/24,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2061402,35.51292484
全事故,鳥取市気高町北浜2丁目,2014/12/25,軽乗用×軽乗用,軽傷事故,車両相互,浜村署,134.045302,35.51794253
全事故,鳥取市徳尾,2014/12/26,普通乗用×大型貨物,軽傷事故,車両相互,鳥取署,134.2013925,35.50220701
全事故,倉吉市広瀬町,2014/12/26,普通乗用×普通乗用,軽傷事故,車両相互,倉吉署,133.8136342,35.43142179
全事故,倉吉市山根,2014/12/26,軽乗用×軽貨物×軽貨物,軽傷事故,車両相互,倉吉署,133.8595433,35.4530488
全事故,米子市皆生四丁目,2014/12/26,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3639063,35.44911991
全事故,米子市角盤町一丁目,2014/12/26,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3322884,35.43166525
全事故,鳥取市富安2丁目,2014/12/27,普通乗用×自転車,重傷事故,車両相互,鳥取署,134.2276599,35.49276533
全事故,米子市東町,2014/12/28,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3312787,35.42593576
全事故,鳥取市吉成1丁目,2014/12/29,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2209311,35.4852914
全事故,鳥取市若葉台南2丁目,2014/12/29,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2623432,35.44721411
全事故,米子市旗ヶ崎二丁目,2014/12/29,普通乗用×普通乗用,軽傷事故,車両相互,米子署,133.3180542,35.43657199
全事故,鳥取市祢宜谷,2014/12/30,軽貨物×自転車,軽傷事故,車両相互,鳥取署,134.2569117,35.4372059
全事故,米子市旗ヶ崎九丁目,2014/12/30,軽乗用×普通乗用,重傷事故,車両相互,米子署,133.3076103,35.44506936
全事故,鳥取市賀露町南２丁目,2014/12/31,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.1835383,35.52486396
全事故,鳥取市伏野,2015/1/1,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.1381241,35.52677231
全事故,鳥取市田島,2015/1/1,普通乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2225675,35.511526
全事故,鳥取市気高町八束水,2015/1/1,軽貨物×軽乗用,軽傷事故,車両相互,浜村署,134.0349902,35.51764926
全事故,米子市陰田町,2015/1/1,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.326528,35.40831924
全事故,日野郡日南町豊栄,2015/1/2,軽乗用×普通乗用,軽傷事故,車両相互,黒坂署,133.2447821,35.09355099
全事故,鳥取市古海,2015/1/3,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2040461,35.49049515
全事故,境港市幸神町,2015/1/4,普通乗用×普通乗用,軽傷事故,車両相互,境港署,133.2403603,35.50485485
全事故,米子市西福原六丁目,2015/1/5,普通乗用×普通乗用,軽傷事故,車両相互,米子署,133.3390722,35.44766644
全事故,西伯郡伯耆町大殿,2015/1/5,軽乗用×軽乗用×軽乗用,軽傷事故,車両相互,黒坂署,133.3986908,35.38756706
全事故,倉吉市駄経寺町２丁目,2015/1/6,軽乗用×普通乗用,軽傷事故,車両相互,倉吉署,133.8384837,35.42960736
全事故,米子市日ノ出町一丁目,2015/1/6,軽貨物×軽乗用,軽傷事故,車両相互,米子署,133.3396631,35.43780418
全事故,東伯郡琴浦町八橋,2015/1/7,軽乗用×普通乗用,軽傷事故,車両相互,八橋署,133.6811958,35.50379014
全事故,鳥取市湖山町東３丁目,2015/1/8,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.1905982,35.51715657
全事故,東伯郡北栄町東園,2015/1/8,大型貨物×大型貨物×普通乗用,死亡事故,車両相互,倉吉署,133.7896567,35.49844892
全事故,米子市富益町,2015/1/8,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.28352,35.4749572
全事故,米子市錦町一丁目,2015/1/8,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3344422,35.43376765
全事故,米子市東福原一丁目,2015/1/8,軽乗用×軽乗用×中型貨物×軽貨物×普通乗用,軽傷事故,車両相互,米子署,133.3415205,35.43885766
全事故,鳥取市西品治,2015/1/9,普通乗用×歩行者,重傷事故,人対車両,鳥取署,134.2222343,35.50864629
全事故,東伯郡北栄町東園,2015/1/9,普通乗用×軽乗用,軽傷事故,車両相互,倉吉署,133.7841235,35.48716124
全事故,西伯郡伯耆町岸本,2015/1/9,軽乗用×自転車,軽傷事故,車両相互,黒坂署,133.4143839,35.38784934
全事故,鳥取市天神町,2015/1/10,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2197748,35.49297534
全事故,八頭郡若桜町大字若桜,2015/1/10,軽乗用×軽貨物,軽傷事故,車両相互,郡家署,134.4003644,35.34472496
全事故,鳥取市気高町八束水,2015/1/10,普通乗用×普通乗用,軽傷事故,車両相互,浜村署,134.0274254,35.51839892
全事故,倉吉市福光,2015/1/10,軽乗用×歩行者,死亡事故,人対車両,倉吉署,133.7871901,35.42423014
全事故,日野郡江府町宮市,2015/1/10,軽乗用×物件等,軽傷事故,車両単独,黒坂署,133.5256447,35.29414606
全事故,鳥取市気高町北浜2丁目,2015/1/13,軽乗用×普通貨物,軽傷事故,車両相互,浜村署,134.0447954,35.51794373
全事故,米子市淀江町西原,2015/1/13,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.419549,35.45334143
全事故,鳥取市材木町,2015/1/14,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2302386,35.50982081
全事故,東伯郡琴浦町大字笠見,2015/1/15,軽貨物×大型貨物,死亡事故,車両相互,高速隊,133.6712604,35.49063643
全事故,鳥取市的場１丁目,2015/1/15,普通貨物×軽乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2341932,35.47314939
全事故,鳥取市千代水４丁目,2015/1/15,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.192426,35.51657083
全事故,鳥取市伏野,2015/1/16,軽乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.1292159,35.52710243
全事故,鳥取市伏野,2015/1/16,普通乗用×普通乗用,重傷事故,車両相互,鳥取署,134.1292521,35.52706896
全事故,倉吉市尾田,2015/1/16,軽乗用×軽貨物,軽傷事故,車両相互,倉吉署,133.7620236,35.39255288
全事故,米子市今在家,2015/1/17,普通乗用×軽貨物,軽傷事故,車両相互,高速隊,133.3958607,35.42497893
全事故,鳥取市西大路,2015/1/18,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2390294,35.47248366
全事故,八頭郡八頭町郡家,2015/1/18,軽乗用×軽乗用,重傷事故,車両相互,郡家署,134.2540437,35.41050129
全事故,米子市二本木,2015/1/18,普通乗用×軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3892669,35.4426322
全事故,鳥取市大杙,2015/1/19,普通乗用×原付,軽傷事故,車両相互,鳥取署,134.2459462,35.48424558
全事故,米子市二本木,2015/1/19,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3889703,35.44286572
全事故,米子市灘町三丁目,2015/1/19,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3202285,35.43469122
全事故,鳥取市叶,2015/1/20,軽貨物×軽乗用,軽傷事故,車両相互,鳥取署,134.2177414,35.4779016
全事故,鳥取市湖山町北4丁目,2015/1/21,普通乗用×歩行者,軽傷事故,人対車両,鳥取署,134.1768777,35.52500249
全事故,鳥取市川端２丁目,2015/1/22,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2293126,35.50064813
全事故,米子市両三柳,2015/1/25,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3304936,35.45201292
全事故,米子市西福原六丁目,2015/1/25,軽貨物×歩行者,軽傷事故,人対車両,米子署,133.3414719,35.44830282
全事故,鳥取市栄町,2015/1/26,普通乗用×自転車,軽傷事故,車両相互,鳥取署,134.2283795,35.49612703
全事故,八頭郡八頭町郡家,2015/1/26,軽乗用×軽乗用,軽傷事故,車両相互,郡家署,134.2531207,35.41376919
全事故,西伯郡伯耆町宮原,2015/1/28,軽乗用×大型貨物,死亡事故,車両相互,高速隊,133.4470006,35.33205645
死亡事故,東伯郡琴浦町大字笠見,2015/1/15,軽貨物×大型貨物,死亡事故,車両相互,高速隊,133.6712604,35.49063643
死亡事故,西伯郡伯耆町宮原,2015/1/28,軽乗用×大型貨物,死亡事故,車両相互,高速隊,133.4470006,35.33205645
死亡事故,東伯郡北栄町東園,2015/1/8,大型貨物×大型貨物×普通乗用,死亡事故,車両相互,倉吉署,133.7896567,35.49844892
死亡事故,倉吉市福光,2015/1/10,軽乗用×歩行者,死亡事故,人対車両,倉吉署,133.7871901,35.42423014
自転車事故,鳥取市富安2丁目,2014/12/27,普通乗用×自転車,重傷事故,車両相互,鳥取署,134.2276599,35.49276533
自転車事故,鳥取市祢宜谷,2014/12/30,軽貨物×自転車,軽傷事故,車両相互,鳥取署,134.2569117,35.4372059
自転車事故,鳥取市栄町,2015/1/26,普通乗用×自転車,軽傷事故,車両相互,鳥取署,134.2283795,35.49612703
自転車事故,西伯郡大山町國信,2014/12/7,普通乗用×自転車,重傷事故,車両相互,八橋署,133.4571771,35.48480752
自転車事故,米子市西福原一丁目,2014/11/20,軽乗用×自転車,軽傷事故,車両相互,米子署,133.3379135,35.44084224
自転車事故,米子市東福原一丁目,2014/11/15,軽乗用×自転車,軽傷事故,車両相互,米子署,133.3480359,35.43512827
自転車事故,西伯郡伯耆町岸本,2015/1/9,軽乗用×自転車,軽傷事故,車両相互,黒坂署,133.4143839,35.38784934
歩行者事故,鳥取市扇町,2014/12/4,普通乗用×歩行者,重傷事故,人対車両,鳥取署,134.2241808,35.4933185
歩行者事故,鳥取市永楽温泉町,2014/12/8,普通貨物×歩行者,軽傷事故,人対車両,鳥取署,134.2287626,35.49478086
歩行者事故,鳥取市西品治,2015/1/9,普通乗用×歩行者,重傷事故,人対車両,鳥取署,134.2222343,35.50864629
歩行者事故,鳥取市湖山町北4丁目,2015/1/21,普通乗用×歩行者,軽傷事故,人対車両,鳥取署,134.1768777,35.52500249
歩行者事故,八頭郡八頭町宮谷,2014/12/8,普通乗用×歩行者,軽傷事故,人対車両,郡家署,134.2556445,35.41517974
歩行者事故,倉吉市福光,2015/1/10,軽乗用×歩行者,死亡事故,人対車両,倉吉署,133.7871901,35.42423014
歩行者事故,米子市明治町,2014/11/5,軽乗用×歩行者,重傷事故,人対車両,米子署,133.3356156,35.42346425
歩行者事故,米子市皆生新田二丁目,2014/12/12,軽乗用×歩行者,重傷事故,人対車両,米子署,133.365729,35.45218497
歩行者事故,米子市西福原六丁目,2015/1/25,軽貨物×歩行者,軽傷事故,人対車両,米子署,133.3414719,35.44830282
全事故,米子市福市,2014/8/19,普通乗用×普通乗用,重傷事故,車両相互,米子署,133.3670192,35.40509272
全事故,西伯郡日吉津村大字日吉津,2014/11/3,普通乗用×歩行者,重傷事故,人対車両,米子署,133.3863307,35.44509031
全事故,米子市新開六丁目,2014/11/23,普通貨物×普通乗用,軽傷事故,車両相互,米子署,133.3440187,35.45802577
全事故,鳥取市宮長,2014/12/16,軽乗用×軽乗用,重傷事故,車両相互,鳥取署,134.2255956,35.47682295
全事故,市米子市彦名町,2014/12/18,軽乗用×物件等,軽傷事故,車両単独,米子署,133.2948605,35.4450888
全事故,鳥取市興南町,2014/12/28,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2319539,35.48860243
全事故,鳥取市佐治町福園,2014/12/29,自動二輪×相手なし,重傷事故,車両単独,智頭署,134.1060106,35.33094617
全事故,米子市淀江町西原,2015/1/2,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.4123124,35.45335236
全事故,鳥取市南町,2015/1/4,軽乗用×歩行者,軽傷事故,人対車両,鳥取署,134.2259184,35.49982095
全事故,鳥取市千代水2丁目,2015/1/6,普通貨物×軽乗用,軽傷事故,車両相互,鳥取署,134.195563,35.51519825
全事故,米子市新開７丁目,2015/1/10,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3388211,35.45605657
全事故,西伯郡伯耆町大殿,2015/1/10,軽乗用×普通乗用,軽傷事故,車両相互,黒坂署,133.4061497,35.38608319
全事故,鳥取市南町,2015/1/13,普通乗用×歩行者,重傷事故,人対車両,鳥取署,134.2253049,35.50187492
全事故,鳥取市江津,2015/1/14,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2109063,35.52184362
全事故,鳥取市叶,2015/1/14,普通乗用×物件等,重傷事故,車両単独,鳥取署,134.2171177,35.47397689
全事故,西伯郡伯耆町坂長,2015/1/17,普通乗用×普通乗用,重傷事故,車両相互,黒坂署,133.3829614,35.38303359
全事故,米子市角盤町四丁目,2015/1/18,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3287842,35.43736762
全事故,境港市福定町,2015/1/20,軽乗用×自転車,重傷事故,車両相互,境港署,133.241081,35.5269646
全事故,鳥取市河原町今在家,2015/1/21,中型貨物×軽乗用×軽乗用,軽傷事故,車両相互,智頭署,134.2044974,35.39961003
全事故,鳥取市安長,2015/1/22,軽乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.1984989,35.51374368
全事故,鳥取市卯垣5丁目,2015/1/22,軽貨物×自転車,重傷事故,車両相互,鳥取署,134.2584388,35.49240186
全事故,鳥取市瓦町,2015/1/24,軽乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2270514,35.49634092
全事故,米子市花園町,2015/1/24,軽乗用×軽乗用,軽傷事故,車両相互,米子署,133.3223911,35.43724459
全事故,鳥取市津ノ井,2015/1/25,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2431832,35.4620452
全事故,鳥取市賀露町南4丁目,2015/1/25,普通貨物×軽乗用,重傷事故,車両相互,鳥取署,134.1914299,35.52695948
全事故,鳥取市吉成,2015/1/26,軽乗用×歩行者,軽傷事故,人対車両,鳥取署,134.2219986,35.48954992
全事故,鳥取市東品治町,2015/1/27,普通乗用×歩行者,軽傷事故,人対車両,鳥取署,134.2281428,35.49382394
全事故,米子市日ノ出町一丁目,2015/1/27,普通乗用×歩行者,軽傷事故,人対車両,米子署,133.3394292,35.43779876
全事故,西伯郡伯耆町大殿,2015/1/27,軽乗用×軽貨物,軽傷事故,車両相互,黒坂署,133.3936206,35.39026129
全事故,鳥取市宮長,2015/1/28,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2251081,35.47532999
全事故,鳥取市大覚寺,2015/1/28,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2332588,35.47815147
全事故,八頭郡八頭町奥谷,2015/1/28,普通乗用×歩行者,重傷事故,人対車両,郡家署,134.2571271,35.41772951
全事故,鳥取市桜谷,2015/1/29,軽乗用×普通乗用,重傷事故,車両相互,鳥取署,134.246004,35.46890745
全事故,鳥取市徳尾,2015/1/29,軽貨物×軽乗用,軽傷事故,車両相互,鳥取署,134.1969676,35.50129428
全事故,米子市冨士見町2丁目,2015/1/29,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3344415,35.43272433
全事故,境港市佐斐神町,2015/1/30,軽乗用×軽貨物,軽傷事故,車両相互,境港署,133.2569137,35.50486305
全事故,鳥取市安長,2015/1/31,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.208886,35.51251374
全事故,西伯郡大山町赤松,2015/1/31,普通乗用×普通乗用,軽傷事故,車両相互,八橋署,133.5017023,35.39942419
全事故,米子市東町,2015/2/2,軽乗用×原付,軽傷事故,車両相互,米子署,133.3309355,35.42550665
全事故,北栄町東伯郡北栄町弓原,2015/2/3,普通乗用×中型貨物,軽傷事故,車両相互,倉吉署,133.8153766,35.49867784
全事故,鳥取市上味野,2015/2/4,普通乗用×歩行者,軽傷事故,人対車両,鳥取署,134.2035864,35.46308901
全事故,鳥取市面影２丁目,2015/2/4,普通乗用×物件等,軽傷事故,車両単独,鳥取署,134.2457713,35.4811285
全事故,鳥取市江津,2015/2/4,軽貨物×普通乗用,軽傷事故,車両相互,鳥取署,134.2097605,35.52585308
全事故,鳥取市気高町八束水,2015/2/4,普通貨物×軽乗用,軽傷事故,車両相互,浜村署,134.0343976,35.51763121
全事故,倉吉市生田,2015/2/4,普通乗用×軽乗用,軽傷事故,車両相互,倉吉署,133.8057171,35.41911194
全事故,倉吉市上井,2015/2/4,軽乗用×普通乗用,軽傷事故,車両相互,倉吉署,133.8539637,35.45268361
全事故,鳥取市緑ケ丘1丁目,2015/2/5,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2136089,35.50020908
全事故,鳥取市今町1丁目,2015/2/5,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2262537,35.49790065
全事故,米子市長砂町,2015/2/5,中型貨物×普通乗用,軽傷事故,車両相互,米子署,133.3559337,35.41681604
全事故,鳥取市江津,2015/2/6,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2113173,35.52067687
全事故,米子市富士見町二丁目,2015/2/6,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3340579,35.43331025
全事故,鳥取市湖山町北６丁目,2015/2/7,普通乗用×歩行者,死亡事故,人対車両,鳥取署,134.1797221,35.51911532
全事故,米子市冨士見町2丁目,2015/2/7,軽乗用×自転車,重傷事故,車両相互,米子署,133.3340712,35.43313769
全事故,八頭郡八頭町下坂,2015/2/8,軽乗用×普通乗用,軽傷事故,車両相互,郡家署,134.2621761,35.42282753
全事故,西伯郡伯耆町岩立,2015/2/8,普通乗用×歩行者,軽傷事故,人対車両,黒坂署,133.5097936,35.36770157
全事故,鳥取市江津,2015/2/9,普通乗用×軽乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.2108226,35.52190002
全事故,鳥取市西品治,2015/2/9,軽乗用×軽乗用,軽傷事故,車両相互,鳥取署,134.2174257,35.50448668
全事故,岩美郡岩美町浦富,2015/2/9,軽乗用×軽貨物,軽傷事故,車両相互,鳥取署,134.3169154,35.57738202
全事故,西伯郡大山町赤松,2015/2/9,大型乗用×物件等×歩行者以外の道路上の人,軽傷事故,車両単独,八橋署,133.4878248,35.40226033
全事故,米子市石井,2015/2/9,普通乗用×軽乗用×軽貨物,軽傷事故,車両相互,米子署,133.3442611,35.40366346
全事故,鳥取市気高町下光元,2015/2/10,普通乗用×普通乗用,軽傷事故,車両相互,浜村署,134.0786782,35.49148243
全事故,米子市冨士見町一丁目,2015/2/10,軽乗用×普通乗用,軽傷事故,車両相互,米子署,133.3386374,35.432108
全事故,鳥取市秋里,2015/2/11,普通乗用×自転車,重傷事故,車両相互,鳥取署,134.2157594,35.52276374
全事故,鳥取市湖山町西1丁目,2015/2/12,普通乗用×普通乗用,軽傷事故,車両相互,鳥取署,134.163424,35.52173802
全事故,鳥取市正蓮寺,2015/2/12,軽乗用×自転車,重傷事故,車両相互,鳥取署,134.2434429,35.47261539
全事故,倉吉市山根,2015/2/12,普通貨物×普通乗用,軽傷事故,車両相互,倉吉署,133.8493493,35.44856797
全事故,米子市糀町二丁目,2015/2/12,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3390772,35.42899533
全事故,鳥取市湖山町東１丁目,2015/2/13,軽乗用×原付,軽傷事故,車両相互,鳥取署,134.1848468,35.51645622
全事故,倉吉市西倉吉町,2015/2/13,軽乗用×中型乗用,軽傷事故,車両相互,倉吉署,133.8067688,35.42719709
全事故,東伯郡琴浦町田越,2015/2/14,軽乗用×物件等,重傷事故,車両単独,高速隊,133.6787119,35.48712325
全事故,東伯郡琴浦町田越,2015/2/14,普通乗用×軽乗用,重傷事故,車両相互,高速隊,133.677783,35.4874754
全事故,東伯郡湯梨浜町大字石脇,2015/2/15,軽貨物×普通乗用,軽傷事故,車両相互,倉吉署,133.9525149,35.51450228
全事故,米子市旗ヶ崎7丁目,2015/2/15,普通乗用×普通乗用,軽傷事故,車両相互,米子署,133.3061533,35.43940793
全事故,倉吉市下古川,2015/2/16,軽貨物×大型貨物,死亡事故,車両相互,倉吉署,133.8302339,35.46739609
全事故,米子市道笑町四丁目,2015/2/17,普通乗用×軽貨物,軽傷事故,車両相互,米子署,133.3473885,35.42284765
全事故,米子市上福原,2015/2/17,普通乗用×軽貨物,軽傷事故,車両相互,米子署,133.3607774,35.44254027
全事故,鳥取市千代水３丁目,2015/2/20,大型貨物×軽乗用,軽傷事故,車両相互,鳥取署,134.1994305,35.5168795
全事故,鳥取市百谷,2015/2/20,普通乗用×物件等,軽傷事故,車両単独,鳥取署,134.2792427,35.5128846
全事故,東伯郡琴浦町徳万,2015/2/21,軽乗用×普通乗用,軽傷事故,車両相互,八橋署,133.6901966,35.50380338
全事故,米子市二本木,2015/2/22,普通乗用×軽乗用,軽傷事故,車両相互,米子署,133.3882969,35.44070367
全事故,鳥取市行徳1丁目,2015/2/24,普通乗用×歩行者,重傷事故,人対車両,鳥取署,134.2190048,35.49867529
全事故,境港市竹内町,2015/2/25,普通乗用×軽乗用,軽傷事故,車両相互,境港署,133.2320397,35.5221549
死亡事故,鳥取市湖山町北６丁目,2015/2/7,普通乗用×歩行者,死亡事故,人対車両,鳥取署,134.1797221,35.51911532
死亡事故,倉吉市下古川,2015/2/16,軽貨物×大型貨物,死亡事故,車両相互,倉吉署,133.8302339,35.46739609
自転車事故,鳥取市卯垣5丁目,2015/1/22,軽貨物×自転車,重傷事故,車両相互,鳥取署,134.2584388,35.49240186
自転車事故,鳥取市秋里,2015/2/11,普通乗用×自転車,重傷事故,車両相互,鳥取署,134.2157594,35.52276374
